Asset,Path,Size (bytes),Size (formatted),Format,Optimizable,Estimated Savings (bytes),Recommendations
adaptive-icon.png,assets\adaptive-icon.png,3057,2.99 KB,png,false,0,""
favicon.png,assets\favicon.png,31765,31.02 KB,png,false,0,""
icon.png,assets\icon.png,3057,2.99 KB,png,false,0,""
splash.png,assets\splash.png,866772,846.46 KB,png,true,346709,"Convert to WebP format for ~40% size reduction; Large file - consider compression or resize"
splashscreen_logo.png,android\app\src\main\res\drawable-hdpi\splashscreen_logo.png,40197,39.25 KB,png,false,0,""
splashscreen_logo.png,android\app\src\main\res\drawable-mdpi\splashscreen_logo.png,15531,15.17 KB,png,false,0,""
splashscreen_logo.png,android\app\src\main\res\drawable-xhdpi\splashscreen_logo.png,86749,84.72 KB,png,true,34700,"Convert to WebP format for ~40% size reduction"
splashscreen_logo.png,android\app\src\main\res\drawable-xxhdpi\splashscreen_logo.png,249342,243.5 KB,png,true,99737,"Convert to WebP format for ~40% size reduction"
splashscreen_logo.png,android\app\src\main\res\drawable-xxxhdpi\splashscreen_logo.png,502186,490.42 KB,png,true,200874,"Convert to WebP format for ~40% size reduction; Large file - consider compression or resize"
ic_launcher.webp,android\app\src\main\res\mipmap-hdpi\ic_launcher.webp,4263,4.16 KB,webp,false,0,""
ic_launcher_foreground.webp,android\app\src\main\res\mipmap-hdpi\ic_launcher_foreground.webp,15786,15.42 KB,webp,false,0,""
ic_launcher_round.webp,android\app\src\main\res\mipmap-hdpi\ic_launcher_round.webp,5012,4.89 KB,webp,false,0,""
ic_launcher.webp,android\app\src\main\res\mipmap-mdpi\ic_launcher.webp,2183,2.13 KB,webp,false,0,""
ic_launcher_foreground.webp,android\app\src\main\res\mipmap-mdpi\ic_launcher_foreground.webp,8135,7.94 KB,webp,false,0,""
ic_launcher_round.webp,android\app\src\main\res\mipmap-mdpi\ic_launcher_round.webp,2698,2.63 KB,webp,false,0,""
ic_launcher.webp,android\app\src\main\res\mipmap-xhdpi\ic_launcher.webp,6781,6.62 KB,webp,false,0,""
ic_launcher_foreground.webp,android\app\src\main\res\mipmap-xhdpi\ic_launcher_foreground.webp,25270,24.68 KB,webp,false,0,""
ic_launcher_round.webp,android\app\src\main\res\mipmap-xhdpi\ic_launcher_round.webp,7892,7.71 KB,webp,false,0,""
ic_launcher.webp,android\app\src\main\res\mipmap-xxhdpi\ic_launcher.webp,13204,12.89 KB,webp,false,0,""
ic_launcher_foreground.webp,android\app\src\main\res\mipmap-xxhdpi\ic_launcher_foreground.webp,48346,47.21 KB,webp,false,0,""
ic_launcher_round.webp,android\app\src\main\res\mipmap-xxhdpi\ic_launcher_round.webp,15041,14.69 KB,webp,false,0,""
ic_launcher.webp,android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.webp,20899,20.41 KB,webp,false,0,""
ic_launcher_foreground.webp,android\app\src\main\res\mipmap-xxxhdpi\ic_launcher_foreground.webp,76595,74.8 KB,webp,false,0,""
ic_launcher_round.webp,android\app\src\main\res\mipmap-xxxhdpi\ic_launcher_round.webp,23554,23 KB,webp,false,0,""
01_home_screen.png,screenshots\01_home_screen.png,258003,251.96 KB,png,true,103201,"Convert to WebP format for ~40% size reduction"
02_main_interface.png,screenshots\02_main_interface.png,258375,252.32 KB,png,true,103350,"Convert to WebP format for ~40% size reduction"
03_navigation_tab.png,screenshots\03_navigation_tab.png,258375,252.32 KB,png,true,103350,"Convert to WebP format for ~40% size reduction"
04_trails_section.png,screenshots\04_trails_section.png,259397,253.32 KB,png,true,103759,"Convert to WebP format for ~40% size reduction"
05_current_state.png,screenshots\05_current_state.png,148811,145.32 KB,png,true,59524,"Convert to WebP format for ~40% size reduction"
06_debug_current.png,screenshots\06_debug_current.png,149743,146.23 KB,png,true,59897,"Convert to WebP format for ~40% size reduction"
07_with_permissions.png,screenshots\07_with_permissions.png,148950,145.46 KB,png,true,59580,"Convert to WebP format for ~40% size reduction"
08_final_state.png,screenshots\08_final_state.png,148432,144.95 KB,png,true,59373,"Convert to WebP format for ~40% size reduction"