Path,Size (bytes),Lines,Imports,Exports,Complexity
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\automation\MetroBuildPipeline.ts",38715,1279,11,4,35
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\analysis\MetroBundleAnalyzer.ts",37122,1137,4,3,31
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\testing\MetroOptimizationTestSuite.ts",31946,983,13,3,32
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\caching\MetroCacheManager.ts",30934,1151,7,2,68
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\benchmarking\MetroPerformanceBenchmark.ts",28161,870,6,2,44
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\bundler\MetroBundleOptimizer.ts",27370,867,4,11,23
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\transformers\AdvancedMetroTransformers.ts",24117,741,7,7,70
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\monitoring\MetroPerformanceMonitor.ts",23851,731,4,2,40
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\assets\AssetOptimizer.ts",20448,658,4,7,27
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\utils\PerformanceMonitor.ts",17078,645,1,5,24
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\LoginScreen.tsx",16863,609,6,1,18
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\assets\ImageProcessor.ts",14622,505,4,3,15
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\utils\ErrorHandler.ts",14506,538,1,5,20
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\utils\Logger.ts",13651,520,1,4,23
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\bundler\MetroBundleOptimizer.js",12600,432,0,0,16
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\config\index.ts",10952,394,3,5,13
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\common\OptimizedImage.tsx",10054,385,4,5,20
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\common\LazyComponent.tsx",9083,319,4,6,21
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\AuthProvider.tsx",7983,304,3,2,23
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\LoginScreen\useAuthActions.ts",6991,252,5,2,12
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\common\OptimizedImageCore.tsx",6593,213,5,3,17
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\navigation\AppNavigator.tsx",6417,224,8,1,6
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\HomeScreen\components.tsx",6149,223,6,16,6
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\HomeScreen\styles.ts",6090,222,3,1,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\config\types.ts",6069,217,0,19,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\App.tsx",5184,155,18,2,5
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\common\LazyScreen.tsx",4009,155,4,2,5
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\common\OptimizedImageUI.tsx",3709,163,2,4,8
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\assets\index.ts",3363,123,2,7,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\HomeScreen\useDashboardData.ts",3325,117,5,3,5
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\maps\LazyMapComponents.tsx",3045,97,1,8,2
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\HomeScreen.tsx",3035,106,8,1,3
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\theme\utils.ts",2458,103,2,5,5
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\LoginScreen\useAuthForm.ts",2426,95,1,4,10
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\lazy\index.tsx",2147,70,0,7,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\HomeScreen\useNavigation.ts",1855,55,4,2,4
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\lazy\index.tsx",1291,41,1,6,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\screens\HomeScreen\utils.ts",1111,45,0,4,6
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\core\utils\index.ts",920,35,0,8,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\index.ts",871,34,0,9,0
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\AppProvider.tsx",351,18,2,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\ThemeProvider.tsx",283,17,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\loading\LoadingScreen.tsx",274,11,2,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\NotificationProvider.tsx",181,10,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\AnalyticsProvider.tsx",178,10,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\DatabaseProvider.tsx",177,10,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\LocalizationProvider.tsx",165,9,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\errors\GlobalErrorBoundary.tsx",164,9,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\components\performance\PerformanceTracker.tsx",163,9,1,1,1
"C:\Users\Kenth\Desktop\echotrail-project\echotrail\apps\mobile\src\providers\NavigationProvider.tsx",163,9,1,1,1